Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,season_end_year,season
334.0,Sean Kilpatrick,28.0,MIL,SG,23.0,0.0,205.0,7.5,19.9,0.378,3.2,11.2,0.283,4.4,8.8,0.5,0.457,4.4,4.6,0.947,0.2,5.8,6.1,3.6,1.2,0.2,2.2,3.6,22.6,102.0,113.0,,2018,2017-18
334.0,Sean Kilpatrick,28.0,LAC,SG,4.0,0.0,38.0,9.0,23.0,0.389,3.8,9.0,0.429,5.1,14.1,0.364,0.472,2.6,2.6,1.0,0.0,2.6,2.6,3.8,0.0,0.0,1.3,2.6,24.3,105.0,118.0,,2018,2017-18
334.0,Sean Kilpatrick,28.0,CHI,SG,9.0,1.0,214.0,10.7,24.4,0.439,4.3,10.9,0.396,6.4,13.5,0.475,0.528,5.9,7.3,0.813,0.7,5.0,5.7,3.0,1.4,0.7,2.7,1.8,31.7,108.0,113.0,,2018,2017-18
335.0,Torrey Craig,27.0,DEN,SF,39.0,5.0,629.0,4.9,10.8,0.453,1.3,4.6,0.293,3.5,6.2,0.57,0.515,1.7,2.8,0.629,3.2,6.9,10.0,2.0,0.9,1.2,1.6,5.0,12.8,111.0,112.0,,2018,2017-18
336.0,Cody Zeller,25.0,CHO,C,33.0,0.0,627.0,6.6,12.1,0.545,0.2,0.2,0.667,6.5,11.9,0.542,0.551,4.7,6.6,0.718,5.2,8.6,13.8,2.4,1.1,1.6,2.6,6.3,18.1,119.0,108.0,,2018,2017-18
337.0,JaVale McGee,30.0,GSW,C,65.0,17.0,615.0,10.7,17.2,0.621,0.0,0.5,0.0,10.7,16.7,0.638,0.621,3.0,4.1,0.731,4.6,8.6,13.2,2.6,1.6,4.5,2.1,7.1,24.3,124.0,103.0,,2018,2017-18
338.0,Terrence Ross,26.0,ORL,SG,24.0,20.0,600.0,6.2,15.6,0.398,2.4,7.6,0.323,3.8,8.0,0.469,0.476,2.2,2.9,0.75,0.8,5.1,6.0,3.1,2.2,0.9,2.4,3.7,17.1,96.0,110.0,,2018,2017-18
339.0,Malik Beasley,21.0,DEN,SG,62.0,0.0,583.0,6.2,15.1,0.41,2.4,7.0,0.341,3.8,8.2,0.469,0.489,1.9,2.8,0.667,1.2,4.8,6.0,2.6,1.3,0.6,2.0,3.1,16.7,101.0,113.0,,2018,2017-18
340.0,Cameron Payne,23.0,CHI,PG,25.0,14.0,582.0,7.3,18.0,0.405,2.9,7.6,0.385,4.4,10.4,0.419,0.486,1.0,1.3,0.75,1.5,4.3,5.8,9.5,2.2,0.8,3.0,3.7,18.5,104.0,111.0,,2018,2017-18
341.0,Cheick Diallo,21.0,NOP,PF,52.0,0.0,581.0,8.4,14.5,0.58,0.0,0.0,,8.4,14.5,0.58,0.58,4.1,5.4,0.758,3.9,13.5,17.3,1.6,0.9,1.7,2.3,6.7,20.9,118.0,105.0,,2018,2017-18
342.0,Khem Birch,25.0,ORL,C,42.0,0.0,578.0,5.8,10.7,0.54,0.0,0.0,,5.8,10.7,0.54,0.54,3.6,5.2,0.689,5.9,9.3,15.2,2.9,1.3,1.8,1.8,4.7,15.1,123.0,108.0,,2018,2017-18
343.0,Brandon Paul,26.0,SAS,SG,64.0,2.0,576.0,4.8,11.1,0.433,1.3,4.7,0.278,3.5,6.4,0.548,0.492,1.9,3.8,0.512,0.5,5.4,6.0,3.2,2.2,0.6,2.5,5.1,12.9,94.0,105.0,,2018,2017-18
344.0,Alex Caruso,23.0,LAL,PG,37.0,7.0,562.0,4.3,9.9,0.431,1.1,3.7,0.302,3.1,6.2,0.507,0.487,1.8,2.6,0.7,1.3,4.3,5.5,6.4,2.0,0.9,3.6,4.4,11.4,98.0,109.0,,2018,2017-18
345.0,Joe Young,25.0,IND,PG,53.0,1.0,558.0,7.2,16.7,0.43,2.2,5.9,0.379,4.9,10.7,0.458,0.497,2.0,2.6,0.759,1.1,4.6,5.6,3.5,1.3,0.1,2.3,3.5,18.5,102.0,112.0,,2018,2017-18
346.0,Tarik Black,26.0,HOU,C,51.0,2.0,536.0,6.9,11.7,0.591,0.1,1.0,0.091,6.8,10.6,0.638,0.594,2.7,5.8,0.46,5.8,9.2,15.0,1.2,1.9,2.8,3.2,9.8,16.5,110.0,102.0,,2018,2017-18
347.0,Jonathan Isaac,20.0,ORL,PF,27.0,10.0,536.0,5.0,13.2,0.379,1.5,4.2,0.348,3.6,9.0,0.394,0.434,1.7,2.3,0.76,1.5,7.6,9.0,1.6,3.0,2.7,2.5,4.4,13.2,87.0,104.0,,2018,2017-18
348.0,Joffrey Lauvergne,26.0,SAS,C,55.0,1.0,534.0,9.3,18.0,0.516,0.0,0.5,0.0,9.3,17.5,0.53,0.516,2.8,4.4,0.638,6.0,10.2,16.2,3.9,0.9,0.3,3.1,4.3,21.4,109.0,106.0,,2018,2017-18
349.0,Nik Stauskas,24.0,2TM,SG,41.0,0.0,523.0,5.6,14.3,0.39,3.7,9.3,0.4,1.9,5.0,0.37,0.519,1.9,2.7,0.724,0.4,5.6,5.9,3.6,0.8,0.4,2.4,2.2,16.8,101.0,113.0,,2018,2017-18
349.0,Nik Stauskas,24.0,PHI,SG,6.0,0.0,45.0,1.1,4.3,0.25,0.0,1.1,0.0,1.1,3.2,0.333,0.25,2.1,2.1,1.0,0.0,1.1,1.1,1.1,4.3,0.0,4.3,3.2,4.3,52.0,104.0,,2018,2017-18
349.0,Nik Stauskas,24.0,BRK,SG,35.0,0.0,478.0,6.0,15.2,0.393,4.1,10.1,0.404,1.9,5.2,0.373,0.527,1.9,2.7,0.704,0.4,6.0,6.4,3.9,0.5,0.4,2.2,2.1,18.0,104.0,114.0,,2018,2017-18
350.0,Abdel Nader,24.0,BOS,SF,48.0,1.0,522.0,4.8,14.3,0.336,2.2,6.2,0.354,2.6,8.0,0.321,0.413,2.2,3.7,0.59,1.2,5.6,6.8,2.5,1.4,1.0,3.3,4.3,14.0,83.0,105.0,,2018,2017-18
351.0,Justin Anderson,24.0,PHI,SF,38.0,0.0,519.0,8.1,18.7,0.431,3.2,9.5,0.33,4.9,9.2,0.535,0.515,2.6,3.5,0.737,2.3,6.3,8.6,2.3,1.4,0.6,1.5,5.0,21.9,110.0,107.0,,2018,2017-18
352.0,Tyler Cavanaugh,23.0,ATL,PF,39.0,1.0,518.0,6.3,14.3,0.441,3.0,8.4,0.36,3.3,5.9,0.556,0.546,1.6,2.0,0.81,4.2,7.7,12.0,2.5,0.8,0.4,1.3,5.8,17.3,119.0,112.0,,2018,2017-18
353.0,Ivan Rabb,20.0,MEM,PF,36.0,5.0,516.0,8.4,14.9,0.566,0.0,0.0,,8.4,14.9,0.566,0.566,2.8,3.5,0.806,5.2,10.3,15.5,3.1,1.2,1.3,3.4,5.4,19.7,112.0,110.0,,2018,2017-18
354.0,Raul Neto,25.0,UTA,PG,41.0,0.0,498.0,6.9,15.2,0.457,1.9,4.7,0.404,5.0,10.5,0.481,0.52,2.6,3.5,0.743,0.7,4.2,4.9,7.6,1.3,0.4,3.6,3.8,18.4,105.0,108.0,,2018,2017-18
355.0,Willy Hernangómez,23.0,2TM,C,48.0,1.0,495.0,9.0,16.3,0.555,0.5,1.2,0.417,8.5,15.1,0.566,0.57,5.9,8.9,0.656,6.1,12.1,18.2,3.3,1.8,1.6,3.5,6.4,24.4,117.0,106.0,,2018,2017-18
355.0,Willy Hernangómez,23.0,NYK,C,26.0,0.0,233.0,10.4,17.2,0.605,0.2,1.1,0.2,10.2,16.2,0.632,0.611,2.6,6.0,0.429,4.7,9.6,14.3,4.5,1.7,1.5,5.5,6.8,23.6,102.0,108.0,,2018,2017-18
355.0,Willy Hernangómez,23.0,CHO,C,22.0,1.0,262.0,7.8,15.5,0.506,0.7,1.3,0.571,7.1,14.1,0.5,0.53,8.7,11.5,0.758,7.3,14.3,21.6,2.2,1.9,1.7,1.7,6.0,25.1,131.0,104.0,,2018,2017-18
356.0,Al Jefferson,33.0,IND,C,36.0,1.0,484.0,11.5,21.5,0.534,0.0,0.3,0.0,11.5,21.2,0.541,0.534,3.1,3.7,0.833,3.1,11.7,14.8,3.1,1.7,2.4,2.2,6.8,26.0,113.0,104.0,,2018,2017-18
357.0,Kyle Collinsworth,26.0,DAL,SF,32.0,2.0,480.0,4.0,10.4,0.384,0.4,1.8,0.235,3.6,8.6,0.415,0.404,2.2,4.2,0.525,3.3,7.8,11.2,5.9,1.8,0.9,2.5,4.6,10.6,98.0,108.0,,2018,2017-18
358.0,Damyean Dotson,23.0,NYK,SG,44.0,2.0,474.0,7.5,16.8,0.447,2.3,7.1,0.324,5.2,9.7,0.538,0.516,1.7,2.4,0.696,0.9,7.8,8.8,3.2,1.3,0.2,1.8,3.6,19.0,106.0,112.0,,2018,2017-18
359.0,Nerlens Noel,23.0,DAL,C,30.0,6.0,472.0,5.8,11.2,0.524,0.0,0.1,0.0,5.8,11.1,0.529,0.524,2.2,3.0,0.75,5.1,12.8,17.9,2.1,3.3,2.3,2.8,6.3,13.9,109.0,100.0,,2018,2017-18
360.0,Kenneth Faried,28.0,DEN,PF,32.0,7.0,461.0,8.2,15.9,0.514,0.0,0.1,0.0,8.2,15.8,0.517,0.514,3.9,5.5,0.706,7.3,9.1,16.5,1.9,1.3,1.4,2.5,5.5,20.2,116.0,110.0,,2018,2017-18
361.0,T.J. Leaf,20.0,IND,PF,53.0,0.0,459.0,7.0,14.8,0.471,2.0,4.6,0.429,5.0,10.2,0.489,0.537,1.1,1.7,0.625,3.2,5.8,8.9,1.0,0.5,0.4,1.1,4.9,17.0,113.0,112.0,,2018,2017-18
362.0,DeAndre' Bembry,23.0,ATL,SF,26.0,3.0,455.0,5.7,13.7,0.414,1.2,3.2,0.367,4.5,10.5,0.429,0.457,2.0,3.5,0.576,0.9,6.9,7.7,5.3,2.3,1.3,5.0,4.1,14.6,83.0,109.0,,2018,2017-18
